date,close,high,low,open,volume
2022-01-03,3408.09,3414.07,3323.21,3351.0,3193457
2022-01-04,3350.44,3428.0,3326.99,3408.76,3536258
2022-01-05,3287.14,3342.525,3287.14,3337.66,3215136
2022-01-06,3265.08,3296.0,3238.7442,3269.01,2597889
2022-01-07,3251.08,3304.865,3240.62,3276.78,2330295
2022-01-10,3229.72,3233.23,3126.09,3211.71,4389915
2022-01-11,3307.24,3327.0,3214.03,3230.0,3140279
2022-01-12,3304.14,3337.56,3288.34,3331.5,2501456
2022-01-13,3224.28,3324.4299,3221.82,3305.01,2609415
2022-01-14,3242.76,3245.0,3196.01,3203.0,2298743
2022-01-18,3178.35,3194.6899,3153.29,3182.1,3372072
2022-01-19,3125.98,3185.0,3125.0,3175.24,2662096
2022-01-20,3033.35,3160.0,3027.02,3135.32,3598666
2022-01-21,2852.86,3018.0,2841.408,2999.0,8198572
2022-01-24,2890.88,2898.9,2707.04,2780.0,7802237
2022-01-25,2799.72,2872.0,2762.9,2844.85,4541233
2022-01-26,2777.45,2903.695,2746.37,2895.0,4780085
2022-01-27,2792.75,2884.87,2787.0,2816.0,3875790
2022-01-28,2879.56,2879.96,2758.585,2817.21,3719599
2022-01-31,2991.47,3007.21,2886.0101,2895.0,3915372
2022-02-01,3023.87,3034.16,2952.5548,3000.0,2960992
2022-02-02,3012.25,3101.5,2977.2717,3101.0085,4366488
2022-02-03,2776.91,2884.95,2766.66,2834.75,11276568
2022-02-04,3152.79,3224.0,3012.16,3112.13,12672793
2022-02-07,3158.71,3253.815,3145.0,3170.4,5131219
2022-02-08,3228.27,3235.85,3111.01,3135.01,3802018
2022-02-09,3223.79,3276.69,3205.0,3257.47,3439280
2022-02-10,3180.07,3214.33,3155.0,3167.0,3413406
2022-02-11,3065.87,3180.0,3054.675,3162.6902,3855022
2022-02-14,3103.34,3168.9663,3033.0,3035.02,4161535
