date,close,high,low,open,volume
2022-01-03,182.01,182.88,177.71,177.83,104701220
2022-01-04,179.7,182.94,179.12,182.63,99310438
2022-01-05,174.92,180.17,174.64,179.61,94537602
2022-01-06,172.0,175.3,171.64,172.7,96903955
2022-01-07,172.17,174.14,171.03,172.89,86709147
2022-01-10,172.19,172.5,168.17,169.08,106765552
2022-01-11,175.08,175.18,170.82,172.32,76138312
2022-01-12,175.53,177.18,174.82,176.12,74805173
2022-01-13,172.19,176.62,171.79,175.78,84505760
2022-01-14,173.07,173.78,171.09,171.34,80440780
2022-01-18,169.8,172.54,169.405,171.51,91168729
2022-01-19,166.23,171.08,165.94,170.0,94814990
2022-01-20,164.51,169.68,164.18,166.98,91420515
2022-01-21,162.41,166.33,162.3,164.415,122848858
2022-01-24,161.62,162.3,154.7,160.02,162706686
2022-01-25,159.78,162.76,157.02,158.98,115798367
2022-01-26,159.69,164.3894,157.82,163.5,108275308
2022-01-27,159.22,163.84,158.28,162.45,121954638
2022-01-28,170.33,170.35,162.8,165.71,179935660
2022-01-31,174.78,175.0,169.51,170.16,115541590
2022-02-01,174.61,174.84,172.31,174.01,86213911
2022-02-02,175.84,175.88,173.33,174.745,84914256
2022-02-03,172.9,176.2399,172.12,174.48,89418074
2022-02-04,172.39,174.1,170.68,171.68,82465400
2022-02-07,171.66,173.9458,170.95,172.86,77251204
2022-02-08,174.83,175.35,171.43,171.73,74829217
2022-02-09,176.28,176.65,174.9,176.05,71285038
2022-02-10,172.12,175.48,171.55,174.14,90865899
2022-02-11,168.64,173.08,168.04,172.33,98670687
2022-02-14,168.88,169.58,166.56,167.37,86185530
