date,close,high,low,open,volume
2022-01-03,1199.78,1201.07,1136.04,1147.75,34895349
2022-01-04,1149.59,1208.0,1123.05,1189.55,33416086
2022-01-05,1088.12,1170.34,1081.0101,1146.65,26706599
2022-01-06,1064.7,1088.0,1020.5,1077.0,30112158
2022-01-07,1026.96,1080.9299,1010.0,1080.37,28054916
2022-01-10,1058.12,1059.1,980.0,1000.0,30604959
2022-01-11,1064.4,1075.85,1038.82,1053.67,22021070
2022-01-12,1106.22,1114.84,1072.5901,1078.85,27913005
2022-01-13,1031.56,1115.6,1026.5391,1109.065,32403264
2022-01-14,1049.61,1052.0,1013.3788,1019.88,24308137
2022-01-18,1030.51,1070.7899,1016.06,1026.605,22329803
2022-01-19,995.65,1054.6699,995.0,1041.705,25147496
2022-01-20,996.27,1041.66,994.0,1009.73,23496248
2022-01-21,943.9,1004.55,940.5,996.34,34472009
2022-01-24,930.0,933.5131,851.47,904.76,50791714
2022-01-25,918.4,951.26,903.21,914.2,28865302
2022-01-26,937.41,987.69,906.0,952.43,34955761
2022-01-27,829.1,935.39,829.0,933.36,49036523
2022-01-28,846.35,857.5,792.01,831.56,44929650
2022-01-31,936.72,937.99,862.05,872.71,34812032
2022-02-01,931.25,943.7,905.0,935.21,24379446
2022-02-02,905.66,931.5,889.41,928.18,22264345
2022-02-03,891.14,937.0,880.52,882.0,26285186
2022-02-04,923.32,936.5,881.17,897.22,24541822
2022-02-07,907.34,947.77,902.7089,923.79,20331488
2022-02-08,922.0,926.2899,894.8,905.53,16909671
2022-02-09,932.0,946.2699,920.0,935.0,17419848
2022-02-10,904.55,943.81,896.7,908.37,22042277
2022-02-11,860.0,915.96,850.7,909.63,26548623
2022-02-14,875.76,898.8799,853.15,861.57,22585472
