date,close,high,low,open,volume
2022-01-03,338.54,341.0816,337.19,338.295,14562849
2022-01-04,336.53,343.0854,331.8711,339.95,15997974
2022-01-05,324.17,335.76,323.84,333.02,20564521
2022-01-06,332.46,339.165,322.72,322.82,27962809
2022-01-07,331.79,337.0,328.8801,332.74,14722020
2022-01-10,328.07,328.34,315.43,325.31,24942383
2022-01-11,334.37,334.63,325.28,326.78,16226847
2022-01-12,333.26,336.365,330.03,335.18,14104858
2022-01-13,326.48,335.63,325.76,334.98,14797109
2022-01-14,331.9,332.73,321.21,321.79,16868497
2022-01-18,318.15,324.21,317.64,323.29,22677332
2022-01-19,319.59,327.1,319.33,319.5822,20814740
2022-01-20,316.56,327.82,315.98,323.9,16925030
2022-01-21,303.17,318.31,303.04,314.81,28710717
2022-01-24,308.71,309.53,289.01,297.84,38936901
2022-01-25,300.15,306.23,297.58,299.95,25108454
2022-01-26,294.63,307.51,290.85,307.01,28348801
2022-01-27,294.64,301.709,294.26,297.752,21629922
2022-01-28,301.71,301.9,293.0333,295.6204,21871620
2022-01-31,313.26,313.79,299.32,300.68,21579474
2022-02-01,319.0,319.6598,312.12,314.555,18023796
2022-02-02,323.0,328.0,316.8747,327.82,58458280
2022-02-03,237.76,248.0,235.745,244.645,188119925
2022-02-04,237.09,242.6099,230.11,234.97,89342247
2022-02-07,224.91,238.3,224.01,237.7,88613826
2022-02-08,220.18,225.77,216.15,220.85,94729672
2022-02-09,232.0,233.37,222.21,224.2,86563275
2022-02-10,228.07,235.0,226.7,228.27,49310356
2022-02-11,219.55,230.42,218.7701,228.46,46156943
2022-02-14,217.7,221.0,214.78,219.31,38184035
