date,close,high,low,open,volume
2022-01-03,334.75,338.0,329.78,335.35,28918013
2022-01-04,329.01,335.2,326.12,334.83,32674306
2022-01-05,316.38,326.07,315.98,325.86,40054327
2022-01-06,313.88,318.7,311.49,313.15,39646148
2022-01-07,314.04,316.5,310.09,314.15,32720018
2022-01-10,314.27,314.72,304.69,309.485,44289467
2022-01-11,314.98,316.61,309.89,313.38,29386774
2022-01-12,318.27,323.41,317.08,319.67,34372217
2022-01-13,304.8,320.88,304.0,320.4658,45365979
2022-01-14,310.2,310.82,303.75,304.25,39846414
2022-01-18,302.65,309.8,301.74,304.07,42434112
2022-01-19,303.33,313.9093,302.7,306.29,45933855
2022-01-20,301.6,311.6494,301.14,309.07,35380675
2022-01-21,296.03,304.11,295.61,302.685,57984403
2022-01-24,296.37,297.11,276.05,292.2,86035393
2022-01-25,288.49,294.99,285.17,291.52,72848638
2022-01-26,296.71,308.5,293.03,307.985,90428853
2022-01-27,299.84,307.3,297.93,302.66,53481317
2022-01-28,308.26,308.48,294.45,300.23,49743698
2022-01-31,310.98,312.38,306.37,308.95,46444536
2022-02-01,308.76,310.63,305.1293,310.41,40950396
2022-02-02,313.46,315.12,308.88,309.63,36635989
2022-02-03,301.25,311.23,299.96,309.49,43729972
2022-02-04,305.94,308.8,299.97,300.21,35096488
2022-02-07,300.95,307.84,299.9,306.17,28533286
2022-02-08,304.56,305.561,299.95,301.25,32421188
2022-02-09,311.21,311.93,307.39,309.865,31284671
2022-02-10,302.38,309.12,300.7,304.04,45386199
2022-02-11,295.04,304.29,294.22,303.19,39175620
2022-02-14,295.0,296.76,291.35,293.77,36359487
